id,'name_city','id_state'
391,Copalillo,12
392,Copanatoyac,12
393,Coyuca de Benitez,12
394,Coyuca de Catalan,12
395,Cuajinicuilapa,12
396,Cualac,12
397,Cuautepec,12
398,Cuetzala del Progreso,12
399,Cutzamala de Pinzon,12
400,Eduardo Neri,12
401,Florencio Villarreal,12
402,General Canuto A. Neri,12
403,General Heliodoro Castillo,12
404,Huamuxtitlan,12
405,Huitzuco de los Figueroa,12
406,Iguala de la Independencia,12
407,Igualapa,12
408,Iliatenco,12
409,Ixcateopan de Cuauhtemoc,12
410,Jose Joaquin de Herrera,12
411,Juan R. Escudero,12
412,Juchitan,12
413,La Union de Isidoro Montes de Oca,12
414,Leonardo Bravo,12
415,Malinaltepec,12
416,Marquelia,12
417,Martir de Cuilapan,12
418,Metlatonoc,12
419,Mochitlan,12
420,Olinala,12
421,Ometepec,12
422,Pedro Ascencio Alquisiras,12
423,Petatlan,12
424,Pilcaya,12
425,Pungarabato,12
426,Quechultenango,12
427,San Luis Acatlan,12
428,San Marcos,12
429,San Miguel Totolapan,12
430,Taxco de Alarcon,12
431,Tecoanapa,12
432,Tecpan de Galeana,12
433,Teloloapan,12
434,Tepecoacuilco de Trujano,12
435,Tetipac,12
436,Tixtla de Guerrero,12
437,Tlacoachistlahuaca,12
438,Tlacoapa,12
439,Tlalchapa,12
440,Tlalixtaquilla de Maldonado,12
441,Tlapa de Comonfort,12
442,Tlapehuala,12
443,Xalpatlahuac,12
444,Xochihuehuetlan,12
445,Xochistlahuaca,12
446,Zapotitlan Tablas,12
447,Zihuatanejo de Azueta,12
448,Zirandaro,12
449,Zitlala,12
450,Acatlan,13,
451,Acaxochitlan,13,
452,Actopan,13
453,Agua Blanca de Iturbide,13
454,Ajacuba,13
455,Alfajayucan,13
456,Almoloya,13
457,Apan,13
458,Atitalaquia,13
459,Atlapexco,13
460,Atotonilco de Tula,13
461,Atotonilco el Grande,13
462,Calnali,13
463,Cardonal,13
464,Chapantongo,13
465,Chapulhuacan,13
466,Chilcuautla,13
467,Cuautepec de Hinojosa,13
468,El Arenal,13
469,Eloxochitlan,13
470,Emiliano Zapata,13
471,Epazoyucan,13
472,Francisco I. Madero,13
473,Huasca de Ocampo,13
474,Huautla,13
475,Huazalingo,13
476,Huehuetla,13
477,Huejutla de Reyes,13
478,Huichapan,13
479,Ixmiquilpan,13
480,Jacala de Ledezma,13
481,Jaltocan,13
482,Juarez Hidalgo,13
483,La Mision,13
484,Lolotla,13
485,Metepec,13
486,Metztitlan,13
487,Mineral de la Reforma,13
488,Mineral del Chico,13
489,Mineral del Monte,13
490,Mixquiahuala de Juarez,13
491,Molango de Escamilla,13
492,Nicolas Flores,13
493,Nopala de Villagran,13
494,Omitlan de Juarez,13
495,Pachuca de Soto,13
496,Pacula,13
497,Pisaflores,13
498,Progreso de Obregon,13
499,San Agustin Metzquititlan,13
500,San Agustin Tlaxiaca,13
501,San Bartolo Tutotepec,13
502,San Felipe Orizatlan,13
503,San Salvador,13
504,Santiago Tulantepec de Lugo Guerrero,13
505,Santiago de Anaya,13
506,Singuilucan,13
507,Tasquillo,13
508,Tecozautla,13
509,Tenango de Doria,13
510,Tepeapulco,13
511,Tepehuacan de Guerrero,13
512,Tepeji del Rio de Ocampo,13
513,Tepetitlan,13
514,Tetepango,13
515,Tezontepec de Aldama,13
516,Tianguistengo,13
517,Tizayuca,13
518,Tlahuelilpan,13
519,Tlahuiltepa,13
520,Tlanalapa,13
521,Tlanchinol,13
522,Tlaxcoapan,13
523,Tolcayuca,1
524,Tula de Allende,13
525,Tulancingo de Bravo,13
526,Villa de Tezontepec,13
527,Xochiatipan,13
528,Xochicoatlan,13
529.Yahualica,13
530,Zacualtipan de Angeles,13
531,Zapotlan de Juarez,13
532,Zempoala,13
533,Zimapan,13
534,Acatic,14
535,Acatlan de Juarez,14
536,Ahualulco de Mercado,14
537,Amacueca,14
538,Amatitan,14
539,Ameca,14
540,Arandas,14
541,Atemajac de Brizuela,14
542,Atengo,14
543,Atenguillo,14
544,Atotonilco el Alto,14
545,Atoyac,14
546,Autlan de Navarro,14
547,Ayotlan,14
548,Ayutla,14
549,Bolanos,14
550,Cabo Corrientes,14
551,Canadas de Obregon,14
552,Casimiro Castillo,14
553,Chapala,14
554,Chimaltitan,14
555,Chiquilistlan,14
556,Cihuatlan,14
557,Cocula,14
558,Colotlan,14
559,Concepcion de Buenos Aires,14
560,Cuautitlan de Garcia Barragan,14
561,Cuautla,14
562,Cuquio,14
563,Degollado,14
564,Ejutla,14
565,El Arenal,14
567,El Grullo,14
568,El Limon,14
569,El Salto,14
570,Encarnacion de Diaz,14
571,Etzatlan,14
572,Gomez Farias,14
573,Guachinango,14
574,Guadalajara,14
575,Hostotipaquillo,14
576,Huejucar,14
577,Huejuquilla el Alto,
578,Ixtlahuacan de los Membrillos,14
579,Ixtlahuacan del Rio,14
580,Jalostotitlan,14
581,Jamay,14
582,Jesus Maria,14
583,Jilotlan de los Dolores,14
584,Jocotepec,14
585,Juanacatlan,14
586,Juchitlan,14
587,La Barca,14
588,La Huerta,14
589,La Manzanilla de la Paz,14
590,Lagos de Moreno,14
591,Magdalena,14
592,Mascota,14
593,Mazamitla,14
594,Mexticacan,14
595,Mezquitic,14
596,Mixtlan,14
597,Ocotlan,14
598,Ojuelos de Jalisco,14
599,Pihuamo,14
600,Poncitlan,14
601,Puerto Vallarta,14
602,Quitupan,14
603,San Cristobal de la Barranca,14
604,San Diego de Alejandria,14
605,San Gabriel,14
606,San Ignacio Cerro Gordo,14
607,San Juan de los Lagos,14
608,San Juanito de Escobedo,14
609,San Julian,14
610,San Marcos,14
611,San Martin Hidalgo,14
612,San Martin de Bolanos,14
613,San Miguel el Alto,14
614,San Pedro Tlaquepaque,14
615,San Sebastian del Oeste,14
616,Santa Maria de los Angeles,14
617,Santa Maria del Oro,14
618,Sayula,14
619,Tala,14
620,Talpa de Allende,14
621,Tamazula de Gordiano,14
622,Tapalpa,14
623,Tecalitlan,14
624,Techaluta de Montenegro,14
625,Tecolotlan,14
626,Tenamaxtlan,14
627,Teocaltiche,14
628,Teocuitatlan de Corona,14
629,Tepatitlan de Morelos,14
630,Tequila,14
631,Teuchitlan,14
632,Tizapan el Alto,14
633,Tlajomulco de Zuniga,14
634,Toliman,14
635,Tomatlan,14
636,Tonala,14
637,Tonaya,14
638,Tonila,14
639,Totatiche,14
640,Tototlan,14
641,Tuxcacuesco,14
642,Tuxcueca,14
643,Tuxpan,14
644,Union de San Antonio,14
645,Union de Tula,14
646,Valle de Guadalupe,14
647,Valle de Juarez,14
648,Villa Corona,14
649,Villa Guerrero,14
650,Villa Hidalgo,14
651,Villa Purificacion,14
652,Yahualica de Gonzalez Gallo,14
653,Zacoalco de Torres,14
654,Zapopan,14
655,Zapotiltic,14
656,Zapotitlan de Vadillo,14
657,Zapotlan del Rey,14
658,Zapotlan el Grande,14
659,Zapotlanejo,14
